Simulation created and run on: 
Fri Nov  4 09:23:42 2022


Time (s), Height (m), Velocity (m/s), Deployment Angle (radians)
0.000175706, 762.964, 284.566, 0
0.000351415, 763.014, 284.562, 0
0.000527126, 763.064, 284.558, 0
0.00070284, 763.114, 284.554, 0
0.000878556, 763.164, 284.55, 0
0.00105427, 763.214, 284.546, 0
0.00123, 763.264, 284.542, 0
0.00140572, 763.314, 284.538, 0
0.00158144, 763.364, 284.534, 0
0.00175717, 763.414, 284.53, 0
0.0019329, 763.464, 284.526, 0
0.00210864, 763.514, 284.522, 0
0.00228437, 763.564, 284.518, 0
0.00246011, 763.614, 284.514, 0
0.00263585, 763.664, 284.51, 0
0.0028116, 763.714, 284.506, 0
0.00298734, 763.764, 284.502, 0
0.00316309, 763.814, 284.498, 0
0.00333884, 763.864, 284.494, 0
0.00351459, 763.914, 284.49, 0
0.00369035, 763.964, 284.486, 0
0.00386611, 764.014, 284.482, 0
0.00404187, 764.064, 284.478, 0
0.00421763, 764.114, 284.474, 0
0.0043934, 764.164, 284.47, 0
0.00456917, 764.214, 284.466, 0
0.00474494, 764.264, 284.462, 0
0.00492071, 764.314, 284.458, 0
0.00509649, 764.364, 284.454, 0
0.00527226, 764.414, 284.45, 0
0.00544804, 764.464, 284.446, 0
0.00562383, 764.514, 284.442, 0
0.00579961, 764.564, 284.438, 0
0.0059754, 764.614, 284.434, 0
0.00615119, 764.664, 284.43, 0
0.00632698, 764.714, 284.426, 0
0.00650278, 764.764, 284.422, 0
0.00667858, 764.814, 284.418, 0
0.00685438, 764.864, 284.413, 0
0.00703018, 764.914, 284.409, 0
0.00720599, 764.964, 284.405, 0
0.00738179, 765.014, 284.401, 0
0.0075576, 765.064, 284.397, 0
0.00773342, 765.114, 284.393, 0
0.00790923, 765.164, 284.389, 0
0.00808505, 765.214, 284.385, 0
0.00826087, 765.264, 284.381, 0
0.00843669, 765.314, 284.377, 0
0.00861252, 765.364, 284.373, 0
0.00878835, 765.414, 284.369, 0
0.00896418, 765.464, 284.365, 0
0.00914001, 765.514, 284.361, 0
0.00931584, 765.564, 284.357, 0
0.00949168, 765.614, 284.353, 0
0.00966752, 765.664, 284.349, 0
0.00984336, 765.714, 284.345, 0
0.0100192, 765.764, 284.341, 0
0.0101951, 765.814, 284.337, 0
0.0103709, 765.864, 284.333, 0
0.0105468, 765.914, 284.329, 0
0.0107226, 765.964, 284.325, 0
0.0108985, 766.014, 284.321, 0
0.0110743, 766.064, 284.317, 0
0.0112502, 766.114, 284.313, 0
0.0114261, 766.164, 284.309, 0
0.0116019, 766.214, 284.305, 0
0.0117778, 766.264, 284.301, 0
0.0119537, 766.314, 284.297, 0
0.0121295, 766.364, 284.293, 0
0.0123054, 766.414, 284.289, 0
0.0124813, 766.464, 284.285, 0
0.0126572, 766.514, 284.281, 0
0.0128331, 766.564, 284.277, 0
0.013009, 766.614, 284.273, 0
0.0131848, 766.664, 284.269, 0
0.0133607, 766.714, 284.265, 0
0.0135366, 766.764, 284.261, 0
0.0137125, 766.814, 284.257, 0
0.0138884, 766.864, 284.253, 0
0.0140643, 766.914, 284.249, 0
0.0142402, 766.964, 284.245, 0
0.0144161, 767.014, 284.241, 0
0.0145921, 767.064, 284.237, 0
0.014768, 767.114, 284.233, 0
0.0149439, 767.164, 284.229, 0
0.0151198, 767.214, 284.225, 0
0.0152957, 767.264, 284.221, 0
0.0154716, 767.314, 284.217, 0
0.0156476, 767.364, 284.213, 0
0.0158235, 767.414, 284.209, 0
0.0159994, 767.464, 284.205, 0
0.0161753, 767.514, 284.201, 0
0.0163513, 767.564, 284.197, 0
0.0165272, 767.614, 284.193, 0
0.0167032, 767.664, 284.189, 0
0.0168791, 767.714, 284.185, 0
0.017055, 767.764, 284.181, 0
0.017231, 767.814, 284.177, 0
0.0174069, 767.864, 284.173, 0
0.0175829, 767.914, 284.169, 0
0.0177588, 767.964, 284.165, 0
0.0179348, 768.014, 284.161, 0
0.0181108, 768.064, 284.157, 0
0.0182867, 768.114, 284.153, 0
0.0184627, 768.164, 284.149, 0
0.0186387, 768.214, 284.145, 0
0.0188146, 768.264, 284.141, 0
0.0189906, 768.314, 284.137, 0
0.0191666, 768.364, 284.133, 0
0.0193425, 768.414, 284.129, 0
0.0195185, 768.464, 284.125, 0
0.0196945, 768.514, 284.121, 0
0.0198705, 768.564, 284.117, 0
0.0200465, 768.614, 284.113, 0
0.0202225, 768.664, 284.109, 0
0.0203985, 768.714, 284.105, 0
0.0205745, 768.764, 284.101, 0
0.0207504, 768.814, 284.097, 0
0.0209264, 768.864, 284.093, 0
0.0211024, 768.914, 284.089, 0
0.0212785, 768.964, 284.085, 0
0.0214545, 769.014, 284.081, 0
0.0216305, 769.064, 284.077, 0
0.0218065, 769.114, 284.073, 0
0.0219825, 769.164, 284.069, 0
0.0221585, 769.214, 284.065, 0
0.0223345, 769.264, 284.06, 0
0.0225106, 769.314, 284.056, 0
0.0226866, 769.364, 284.052, 0
0.0228626, 769.414, 284.048, 0
0.0230386, 769.464, 284.044, 0
0.0232147, 769.514, 284.04, 0
0.0233907, 769.564, 284.036, 0
0.0235667, 769.614, 284.032, 0
0.0237428, 769.664, 284.028, 0
0.0239188, 769.714, 284.024, 0
0.0240949, 769.764, 284.02, 0
0.0242709, 769.814, 284.016, 0
0.0244469, 769.864, 284.012, 0
0.024623, 769.914, 284.008, 0
0.0247991, 769.964, 284.004, 0
0.0249751, 770.014, 284, 0
0.0251512, 770.064, 283.996, 0
0.0253272, 770.114, 283.992, 0
0.0255033, 770.164, 283.988, 0
0.0256794, 770.214, 283.984, 0
0.0258554, 770.264, 283.98, 0
0.0260315, 770.314, 283.976, 0
0.0262076, 770.364, 283.972, 0
0.0263836, 770.414, 283.968, 0
0.0265597, 770.464, 283.964, 0
0.0267358, 770.514, 283.96, 0
0.0269119, 770.564, 283.956, 0
0.027088, 770.614, 283.952, 0
0.0272641, 770.664, 283.948, 0
0.0274402, 770.714, 283.944, 0
0.0276163, 770.764, 283.94, 0
0.0277923, 770.814, 283.936, 0
0.0279684, 770.864, 283.932, 0
0.0281445, 770.914, 283.928, 0
0.0283206, 770.964, 283.924, 0
0.0284968, 771.014, 283.92, 0
0.0286729, 771.064, 283.916, 0
0.028849, 771.114, 283.912, 0
0.0290251, 771.164, 283.908, 0
0.0292012, 771.214, 283.904, 0
0.0293773, 771.264, 283.9, 0
0.0295534, 771.314, 283.896, 0
0.0297296, 771.364, 283.892, 0
0.0299057, 771.414, 283.888, 0
0.0300818, 771.464, 283.884, 0
0.0302579, 771.514, 283.88, 0
0.0304341, 771.564, 283.876, 0
0.0306102, 771.614, 283.872, 0
0.0307864, 771.664, 283.868, 0
0.0309625, 771.714, 283.864, 0
0.0311386, 771.764, 283.86, 0
0.0313148, 771.814, 283.856, 0
0.0314909, 771.864, 283.852, 0
0.0316671, 771.914, 283.848, 0
0.0318432, 771.964, 283.844, 0
0.0320194, 772.014, 283.84, 0
0.0321956, 772.064, 283.836, 0
0.0323717, 772.114, 283.832, 0
0.0325479, 772.164, 283.828, 0
0.032724, 772.214, 283.824, 0
0.0329002, 772.264, 283.82, 0
0.0330764, 772.314, 283.816, 0
0.0332526, 772.364, 283.812, 0
0.0334287, 772.414, 283.808, 0
