Simulation created and run on: 
Thu Feb  9 09:30:45 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
0, 762.914, 284.57, -9.80665, 0
0.100025, 791.264, 282.298, -22.6038, 1.39787
0.200143, 819.414, 280.045, -22.4023, 2.7995
0.30017, 847.314, 277.813, -22.2347, 4.19986
0.400278, 875.014, 275.594, -22.0985, 5.60135
0.500282, 902.464, 273.39, -21.9919, 7.00139
0.60036, 929.714, 271.193, -21.9125, 8.40246
0.70051, 956.764, 269.001, -21.8585, 9.80454
0.800545, 983.564, 266.816, -21.8279, 11.205
0.90065, 1010.16, 264.632, -21.8188, 12.6064
1.00083, 1036.56, 262.446, -21.8292, 14.0089
1.10088, 1062.71, 260.26, -21.8575, 15.4097
1.20101, 1088.66, 258.07, -21.9018, 16.8115
1.30102, 1114.36, 255.876, -21.9602, 18.2116
1.40111, 1139.86, 253.675, -22.0313, 19.6128
1.50128, 1165.16, 251.464, -22.1133, 21.0152
1.60134, 1190.21, 249.247, -22.2046, 22.416
1.70149, 1215.06, 247.018, -22.3037, 23.818
1.80153, 1239.66, 244.782, -22.4089, 25.2186
1.90167, 1264.06, 242.532, -22.5189, 26.6205
2.00171, 1288.21, 240.274, -22.6322, 28.0211
2.10187, 1312.16, 238.001, -22.7477, 29.4232
2.20193, 1335.86, 235.719, -22.8638, 30.824
2.30211, 1359.36, 233.423, -22.9795, 32.2265
2.40221, 1382.61, 231.117, -23.0934, 33.6279
2.50223, 1405.61, 228.802, -23.2044, 35.0281
2.60239, 1428.41, 226.472, -23.3118, 36.4303
2.70248, 1450.96, 224.134, -23.4143, 37.8315
2.80249, 1473.26, 221.787, -23.511, 39.2318
2.90267, 1495.36, 219.427, -23.6013, 40.6342
3.00279, 1517.21, 217.06, -23.6843, 42.0359
3.10285, 1538.81, 214.698, -23.4501, 42.3975
3.20307, 1560.21, 212.364, -23.1153, 42.3975
3.30321, 1581.36, 210.066, -22.7912, 42.4008
3.40324, 1602.26, 207.802, -22.4756, 42.4009
3.5034, 1622.96, 205.566, -22.1683, 42.4009
3.60342, 1643.41, 203.364, -21.8691, 42.3974
3.70353, 1663.66, 201.189, -21.5795, 42.4009
3.80373, 1683.71, 199.042, -21.2958, 42.3974
3.90374, 1703.51, 196.926, -21.0211, 42.3974
4.0038, 1723.11, 194.836, -20.7536, 42.3974
4.1039, 1742.51, 192.771, -20.4931, 42.3974
4.20404, 1761.71, 190.732, -20.2393, 42.3973
4.30418, 1780.71, 188.717, -19.9922, 42.3973
4.40433, 1799.51, 186.727, -19.7514, 42.3973
4.50447, 1818.11, 184.761, -19.5169, 42.3973
4.60459, 1836.51, 182.819, -19.2884, 42.3973
4.70467, 1854.71, 180.9, -19.0657, 42.3972
4.8047, 1872.71, 179.003, -18.8488, 42.3972
4.90495, 1890.56, 177.124, -18.6376, 42.4011
5.00512, 1908.21, 175.268, -18.4303, 42.3972
5.10521, 1925.66, 173.433, -18.2298, 42.4012
5.20549, 1942.96, 171.615, -18.0331, 42.4012
5.30566, 1960.06, 169.819, -17.8414, 42.4012
