Simulation created and run on: 
Thu Jan 12 08:55:04 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
0.10035, 791.314, 281.464, -30.6803, 47.8
0.200373, 819.314, 278.422, -30.1592, 47.8
0.300402, 847.014, 275.43, -29.6543, 47.8
0.400419, 874.414, 272.489, -29.1649, 47.8
0.500591, 901.564, 269.592, -28.6897, 47.8
0.600718, 928.414, 266.742, -28.2291, 47.8
0.70078, 954.964, 263.94, -27.7825, 47.8
0.80095, 981.264, 261.179, -27.3487, 47.8
0.901021, 1007.26, 258.463, -26.928, 47.8
1.00117, 1033.01, 255.787, -26.5192, 47.8
1.10118, 1058.46, 253.155, -26.1227, 47.8
1.20124, 1083.66, 250.56, -25.7373, 47.8
1.30133, 1108.61, 248.003, -25.3627, 47.8
1.40144, 1133.31, 245.483, -24.9986, 47.8
1.50155, 1157.76, 242.998, -24.6445, 47.8
1.60164, 1181.96, 240.549, -24.3003, 47.8
1.70171, 1205.91, 238.134, -23.9655, 47.8
1.80174, 1229.61, 235.753, -23.64, 47.8
1.90192, 1253.11, 233.401, -23.3227, 47.8
2.00203, 1276.36, 231.081, -23.0141, 47.8
2.10206, 1299.36, 228.794, -22.7139, 47.8
2.20221, 1322.16, 226.534, -22.4212, 47.8
2.30225, 1344.71, 224.306, -22.1364, 47.8
2.40238, 1367.06, 222.103, -21.8588, 47.8
2.50261, 1389.21, 219.926, -21.588, 47.8
2.60268, 1411.11, 217.779, -21.3245, 47.8
2.70281, 1432.81, 215.657, -21.0675, 47.8
2.80299, 1454.31, 213.558, -20.8169, 47.8
2.90322, 1475.61, 211.484, -20.5723, 47.8
3.00324, 1496.66, 209.439, -20.3343, 47.8
3.10328, 1517.51, 207.416, -20.1021, 47.8
3.20332, 1538.16, 205.417, -19.8756, 47.8
3.30336, 1558.61, 203.439, -19.6545, 47.8
3.40338, 1578.86, 201.484, -19.4388, 47.8
3.50362, 1598.96, 199.546, -19.2277, 47.8
3.60383, 1618.86, 197.63, -19.0218, 47.8
3.704, 1638.56, 195.735, -18.8208, 47.8
3.8041, 1658.06, 193.861, -18.6246, 47.8
3.90414, 1677.36, 192.007, -18.4331, 47.8
4.00436, 1696.51, 190.169, -18.2457, 47.8
4.10448, 1715.46, 188.352, -18.0627, 47.8
4.20451, 1734.21, 186.554, -17.8842, 47.8
4.3047, 1752.81, 184.771, -17.7094, 47.8
4.40476, 1771.21, 183.008, -17.5387, 47.8
4.50496, 1789.46, 181.258, -17.3717, 47.8
4.60502, 1807.51, 179.528, -17.2086, 47.8
4.70521, 1825.41, 177.812, -17.0489, 47.8
4.80523, 1843.11, 176.115, -16.893, 47.8
4.90536, 1860.66, 174.431, -16.7404, 47.8
5.0056, 1878.06, 172.761, -16.591, 47.8
5.10564, 1895.26, 171.108, -16.445, 47.8
5.20576, 1912.31, 169.469, -16.3021, 47.8
5.30597, 1929.21, 167.842, -16.1622, 47.8
5.40625, 1945.96, 166.229, -16.0252, 47.8
5.50629, 1962.51, 164.632, -15.8914, 47.8
5.60639, 1978.91, 163.048, -15.7603, 47.8
5.70654, 1995.16, 161.476, -15.632, 47.8
5.80673, 2011.26, 159.916, -15.5063, 47.8
5.90696, 2027.21, 158.368, -15.3831, 47.8
6.00722, 2043.01, 156.832, -15.2625, 47.8
6.1075, 2058.66, 155.308, -15.1444, 47.8
6.20779, 2074.16, 153.795, -15.0287, 47.8
6.30809, 2089.51, 152.293, -14.9154, 47.8
