Simulation created and run on: 
Tue Jan 17 09:34:11 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
0, 762.914, 284.57, -9.80665, 0
0.100172, 791.264, 281.47, -30.6812, 47.8
0.200193, 819.264, 278.427, -30.1601, 47.8
0.30022, 846.964, 275.436, -29.6552, 47.8
0.400235, 874.364, 272.495, -29.1658, 47.8
0.500406, 901.514, 269.597, -28.6906, 47.8
0.60053, 928.364, 266.748, -28.23, 47.8
0.70059, 954.914, 263.945, -27.7833, 47.8
0.800759, 981.214, 261.184, -27.3495, 47.8
0.900828, 1007.21, 258.469, -26.9288, 47.8
1.00097, 1032.96, 255.792, -26.52, 47.8
1.10099, 1058.41, 253.16, -26.1234, 47.8
1.20104, 1083.61, 250.566, -25.7381, 47.8
1.30113, 1108.56, 248.008, -25.3635, 47.8
1.40123, 1133.26, 245.488, -24.9993, 47.8
1.50134, 1157.71, 243.003, -24.6452, 47.8
1.60143, 1181.91, 240.554, -24.301, 47.8
1.7015, 1205.86, 238.139, -23.9662, 47.8
1.80153, 1229.56, 235.758, -23.6407, 47.8
1.90171, 1253.06, 233.406, -23.3234, 47.8
2.00182, 1276.31, 231.086, -23.0147, 47.8
2.10184, 1299.31, 228.799, -22.7145, 47.8
2.20199, 1322.11, 226.539, -22.4218, 47.8
2.30203, 1344.66, 224.31, -22.1371, 47.8
2.40216, 1367.01, 222.108, -21.8594, 47.8
2.50238, 1389.16, 219.931, -21.5886, 47.8
2.60245, 1411.06, 217.784, -21.3251, 47.8
2.70258, 1432.76, 215.661, -21.0681, 47.8
2.80276, 1454.26, 213.563, -20.8174, 47.8
2.90298, 1475.56, 211.489, -20.5729, 47.8
3.003, 1496.61, 209.444, -20.3349, 47.8
3.10304, 1517.46, 207.421, -20.1027, 47.8
3.20308, 1538.11, 205.421, -19.8761, 47.8
3.30311, 1558.56, 203.444, -19.655, 47.8
3.40313, 1578.81, 201.489, -19.4393, 47.8
3.50337, 1598.91, 199.551, -19.2282, 47.8
3.60358, 1618.81, 197.635, -19.0223, 47.8
3.70374, 1638.51, 195.74, -18.8213, 47.8
3.80384, 1658.01, 193.865, -18.6251, 47.8
3.90388, 1677.31, 192.012, -18.4336, 47.8
4.00409, 1696.46, 190.174, -18.2462, 47.8
4.10422, 1715.41, 188.356, -18.0632, 47.8
4.20424, 1734.16, 186.559, -17.8846, 47.8
4.30442, 1752.76, 184.776, -17.7098, 47.8
4.40448, 1771.16, 183.012, -17.5392, 47.8
4.50469, 1789.41, 181.263, -17.3721, 47.8
