Simulation created and run on: 
Mon Apr  3 15:34:47 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
3.6 684.84 298.148 -9.80665 0
3.61007 687.84 297.84 -30.6148 0
3.62015 690.84 297.531 -30.564 0
3.63023 693.84 297.223 -30.5133 0
3.64033 696.84 296.915 -30.4627 0
3.65044 699.84 296.608 -30.4122 0
3.66056 702.84 296.3 -30.3618 0
3.67069 705.84 295.993 -30.3115 0
3.68083 708.84 295.686 -30.2612 0
3.69098 711.84 295.379 -30.2112 0
3.70115 714.84 295.072 -30.1612 0
3.71115 717.79 294.771 -30.1121 0
3.72116 720.74 294.469 -30.0631 0
3.73118 723.69 294.168 -30.0143 0
3.74122 726.64 293.867 -29.9655 0
3.75126 729.59 293.567 -29.9168 0
3.76132 732.54 293.266 -29.8682 0
3.77138 735.49 292.966 -29.8198 0
3.78145 738.44 292.666 -29.7714 0
3.79154 741.39 292.366 -29.7231 0
3.80164 744.34 292.066 -29.6749 0
3.81174 747.29 291.766 -29.6268 0
3.82186 750.24 291.467 -29.5788 0
3.83198 753.19 291.167 -29.5309 0
3.84212 756.14 290.868 -29.4831 0
3.85227 759.09 290.569 -29.4354 0
3.86243 762.04 290.271 -29.3878 0
3.87259 764.99 289.972 -29.3403 0
3.8826 767.89 289.679 -29.2937 0
3.89262 770.79 289.385 -29.2471 0
3.90264 773.69 289.092 -29.2007 0
3.91268 776.59 288.8 -29.1543 0
3.92273 779.49 288.507 -29.1081 0
3.93278 782.39 288.214 -29.0619 0
3.94285 785.29 287.922 -29.0158 0
3.95293 788.19 287.63 -28.9699 0
3.96301 791.09 287.338 -28.924 0
3.97311 793.99 287.046 -28.8782 0
3.98322 796.89 286.754 -28.8325 0
3.99334 799.79 286.463 -28.7868 0
4.00347 802.69 286.172 -28.7413 0
4.01361 805.59 285.88 -28.6959 0
4.02376 808.49 285.589 -28.6505 0
4.03392 811.39 285.299 -28.6052 0
4.04409 814.29 285.008 -28.5601 0
4.05409 817.14 284.722 -28.5157 0
4.06411 819.99 284.437 -28.4715 0
4.07413 822.84 284.152 -28.4274 0
4.08417 825.69 283.867 -28.3833 0
4.09421 828.54 283.582 -28.3393 0
4.10427 831.39 283.297 -28.2955 0
4.11433 834.24 283.013 -28.2517 0
4.12441 837.09 282.728 -28.2079 0
4.13449 839.94 282.444 -28.1643 0
4.14459 842.79 282.16 -28.1207 0
4.15469 845.64 281.876 -28.0773 0
4.16481 848.49 281.592 -28.0339 0
4.17494 851.34 281.308 -27.9906 0
4.18507 854.19 281.025 -27.9474 0
4.19522 857.04 280.741 -27.9042 0
4.20538 859.89 280.458 -27.8612 0
4.21554 862.74 280.175 -27.8182 0
4.22572 865.59 279.892 -27.7753 0
4.23573 868.39 279.615 -27.7333 0
4.24575 871.19 279.337 -27.6913 0
4.25578 873.99 279.059 -27.6494 0
4.26582 876.79 278.782 -27.6076 0
4.27586 879.59 278.505 -27.5659 0
4.28592 882.39 278.228 -27.5242 0
4.29599 885.19 277.951 -27.4826 0
4.30607 887.99 277.674 -27.4411 0
4.31616 890.79 277.397 -27.3997 0
4.32626 893.59 277.121 -27.3584 0
4.33637 896.39 276.845 -27.3171 0
4.34649 899.19 276.568 -27.2759 0
